,followers,genres,href,id,name,popularity,uri
9500,"{'href': None, 'total': 931525}","['canzone napoletana', 'classical tenor', 'italian tenor', 'opera', 'operatic pop']",https://api.spotify.com/v1/artists/0Y8KmFkKOgJybpVobn1onU,0Y8KmFkKOgJybpVobn1onU,Luciano Pavarotti,62,spotify:artist:0Y8KmFkKOgJybpVobn1onU
9501,"{'href': None, 'total': 25503}",[],https://api.spotify.com/v1/artists/3HYpSvGctSamkShNEVX9gS,3HYpSvGctSamkShNEVX9gS,Jordan Francis,38,spotify:artist:3HYpSvGctSamkShNEVX9gS
9502,"{'href': None, 'total': 53696}",[],https://api.spotify.com/v1/artists/4iQHkms1GjFd7pjSHqs68B,4iQHkms1GjFd7pjSHqs68B,Cast Of 'Camp Rock 2',0,spotify:artist:4iQHkms1GjFd7pjSHqs68B
9503,"{'href': None, 'total': 5201}",['nu disco'],https://api.spotify.com/v1/artists/6NRfLaZcv4FKNEwMDCsbf5,6NRfLaZcv4FKNEwMDCsbf5,5 Reasons,25,spotify:artist:6NRfLaZcv4FKNEwMDCsbf5
9504,"{'href': None, 'total': 1085}",[],https://api.spotify.com/v1/artists/6s1s1HpnylDohnCl4p1LlG,6s1s1HpnylDohnCl4p1LlG,4 to the Bar,15,spotify:artist:6s1s1HpnylDohnCl4p1LlG
9505,"{'href': None, 'total': 33322}",['world fusion'],https://api.spotify.com/v1/artists/0il1nryhnpaNrP63qYWWCC,0il1nryhnpaNrP63qYWWCC,Govinda,33,spotify:artist:0il1nryhnpaNrP63qYWWCC
9506,"{'href': None, 'total': 205}",[],https://api.spotify.com/v1/artists/04GzNNliYcJg3rAlDodciK,04GzNNliYcJg3rAlDodciK,Ekala,1,spotify:artist:04GzNNliYcJg3rAlDodciK
9507,"{'href': None, 'total': 1841}",['world chill'],https://api.spotify.com/v1/artists/4Yk1pfewZrswZltpVmtIyf,4Yk1pfewZrswZltpVmtIyf,Al-Pha-X,18,spotify:artist:4Yk1pfewZrswZltpVmtIyf
9508,"{'href': None, 'total': 25667}",['downtempo'],https://api.spotify.com/v1/artists/37w4Pd5kBVdyhUR1Q5L6CA,37w4Pd5kBVdyhUR1Q5L6CA,Samantha James,31,spotify:artist:37w4Pd5kBVdyhUR1Q5L6CA
9509,"{'href': None, 'total': 462}",['deep chill'],https://api.spotify.com/v1/artists/7BreAeoPMcVuOuj8DCEx7k,7BreAeoPMcVuOuj8DCEx7k,Eriq Johnson,17,spotify:artist:7BreAeoPMcVuOuj8DCEx7k
9510,"{'href': None, 'total': 13804}",['chill lounge'],https://api.spotify.com/v1/artists/0xqJJcwIGBcOtOw2LHnNMS,0xqJJcwIGBcOtOw2LHnNMS,Triangle Sun,41,spotify:artist:0xqJJcwIGBcOtOw2LHnNMS
9511,"{'href': None, 'total': 6588}","['progressive trance house', 'swedish electronic']",https://api.spotify.com/v1/artists/0DJbbindURDhi6N4cRf48d,0DJbbindURDhi6N4cRf48d,Claes Rosen,30,spotify:artist:0DJbbindURDhi6N4cRf48d
9512,"{'href': None, 'total': 75}",['ambient fusion'],https://api.spotify.com/v1/artists/4ETeHZUUTzssR8zV1dJmEn,4ETeHZUUTzssR8zV1dJmEn,Keston & Westdal,0,spotify:artist:4ETeHZUUTzssR8zV1dJmEn
9513,"{'href': None, 'total': 12187}",['chill lounge'],https://api.spotify.com/v1/artists/01Ix2zdjR4PQ2eYMpclD9d,01Ix2zdjR4PQ2eYMpclD9d,Thomas Lemmer,37,spotify:artist:01Ix2zdjR4PQ2eYMpclD9d
